feature,importance,suggested_action
Churn Value,5.476393943597059,Retention call with tailored offer.
Churn Reason_Attitude of support person,0.42081555535614473,Retention call with tailored offer.
Churn Score,0.3754518202061387,Retention call with tailored offer.
Contract_Month-to-month,0.07073320726498966,Retention call with tailored offer.
Tenure Months,0.015600956603591369,Retention call with tailored offer.
Internet Service_Fiber optic,0.014176937284232105,Retention call with tailored offer.
Monthly Charges,0.01156079934500153,Retention call with tailored offer.
Online Security_No,0.009918753802254848,Retention call with tailored offer.
Zip Code,0.006996068204808961,Retention call with tailored offer.
Tech Support_No,0.006952829083167005,Retention call with tailored offer.
Contract_Two year,0.006665225256904965,Promote longer contract discounts with perks.
Total Charges,0.005427954427353116,Retention call with tailored offer.
