feature,importance,suggested_action
Contract_Month-to-month,0.6911389322126201,Retention call with tailored offer.
Dependents_No,0.525137448991733,Retention call with tailored offer.
Tenure Months,0.49955690037876405,Retention call with tailored offer.
Monthly Charges,0.24529954457999756,Retention call with tailored offer.
Dependents_Yes,0.2119551300353312,Retention call with tailored offer.
Online Security_No,0.1977568629001502,Retention call with tailored offer.
Total Charges,0.1736244344418478,Retention call with tailored offer.
Internet Service_Fiber optic,0.16871383059552986,Retention call with tailored offer.
Payment Method_Electronic check,0.15422309157564823,Retention call with tailored offer.
Tech Support_No,0.14767589496377642,Retention call with tailored offer.
Contract_Two year,0.14697392736452988,Promote longer contract discounts with perks.
CLTV,0.10965086852286332,Retention call with tailored offer.
