feature,importance,suggested_action
Tenure Months,1.0394700799457903,Retention call with tailored offer.
Dependents_Yes,0.3991361972794951,Retention call with tailored offer.
Contract_Month-to-month,0.3303490010060161,Retention call with tailored offer.
Dependents_No,0.32509301646733396,Retention call with tailored offer.
Total Charges,0.30853664263506264,Retention call with tailored offer.
Internet Service_Fiber optic,0.26712474683762927,Retention call with tailored offer.
Monthly Charges,0.264559530962295,Retention call with tailored offer.
Contract_Two year,0.24029839719669385,Promote longer contract discounts with perks.
Internet Service_DSL,0.23929461770625302,Retention call with tailored offer.
Payment Method_Electronic check,0.13540877516462216,Retention call with tailored offer.
Paperless Billing_No,0.1298796218105329,Retention call with tailored offer.
Multiple Lines_No,0.12629036623815404,Retention call with tailored offer.
